Chapter 1, chunk 1: domains missing; inferred ['strategy']
Chapter 50, chunk 1: domains missing; inferred ['data', 'timing', 'power']
Chapter 51, chunk 1: domains missing; inferred ['timing', 'data', 'power']
Chapter 65, chunk 1: domains missing; inferred ['strategy']
Chapter 52, chunk 1: domains missing; inferred ['timing', 'truth', 'base']
Chapter 53, chunk 1: domains missing; inferred ['power', 'discipline', 'strategy']
Chapter 54, chunk 1: domains missing; inferred ['psychology', 'timing', 'power']
Chapter 55, chunk 1: domains missing; inferred ['psychology', 'power', 'timing']
Chapter 2, chunk 1: domains missing; inferred ['strategy']
Chapter 56, chunk 1: domains missing; inferred ['timing', 'truth', 'data']
Chapter 57, chunk 1: domains missing; inferred ['timing', 'base', 'psychology']
Chapter 5, chunk 1: domains missing; inferred ['psychology', 'risk', 'strategy']
Chapter 6, chunk 1: domains missing; inferred ['strategy']
Chapter 58, chunk 1: domains missing; inferred ['power', 'strategy', 'truth']
Chapter 59, chunk 1: domains missing; inferred ['discipline', 'strategy']
Chapter 7, chunk 1: domains missing; inferred ['truth', 'timing', 'psychology']
Chapter 8, chunk 1: domains missing; inferred ['discipline']
Chapter 60, chunk 1: domains missing; inferred ['power', 'timing']
Chapter 61, chunk 1: domains missing; inferred ['power', 'psychology']
Chapter 9, chunk 1: domains missing; inferred ['power', 'timing', 'risk']
Chapter 10, chunk 1: domains missing; inferred ['strategy']
Chapter 62, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 63, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 11, chunk 1: domains missing; inferred ['timing', 'power', 'base']
Chapter 12, chunk 1: domains missing; inferred ['timing', 'truth', 'legitimacy']
Chapter 64, chunk 1: domains missing; inferred ['power', 'timing', 'constraints']
Chapter 13, chunk 1: domains missing; inferred ['truth', 'power', 'strategy']
Chapter 14, chunk 1: domains missing; inferred ['discipline', 'legitimacy', 'truth']
Chapter 17, chunk 1: domains missing; inferred ['power', 'psychology', 'timing']
Chapter 18, chunk 1: domains missing; inferred ['truth', 'timing', 'data']
Chapter 20, chunk 1: domains missing; inferred ['timing', 'base', 'data']
Chapter 21, chunk 1: domains missing; inferred ['technology', 'timing', 'optionality']
Chapter 22, chunk 1: domains missing; inferred ['timing', 'discipline', 'truth']
Chapter 23, chunk 1: domains missing; inferred ['timing', 'data', 'discipline']
Chapter 26, chunk 1: domains missing; inferred ['base', 'truth', 'discipline']
Chapter 27, chunk 1: domains missing; inferred ['base', 'truth', 'data']
Chapter 28, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 30, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 32, chunk 1: domains missing; inferred ['timing', 'truth', 'power']
Chapter 35, chunk 1: domains missing; inferred ['strategy']
Chapter 36, chunk 1: domains missing; inferred ['psychology', 'power', 'legitimacy']
Chapter 39, chunk 1: domains missing; inferred ['timing', 'base']
Chapter 40, chunk 1: domains missing; inferred ['truth', 'timing', 'base']
Chapter 41, chunk 1: domains missing; inferred ['timing', 'truth', 'base']
Chapter 42, chunk 1: domains missing; inferred ['discipline', 'power', 'truth']
Chapter 44, chunk 1: domains missing; inferred ['diplomacy']
Chapter 45, chunk 1: domains missing; inferred ['timing']
Chapter 46, chunk 1: domains missing; inferred ['strategy']
Chapter 47, chunk 1: domains missing; inferred ['timing', 'risk', 'data']
Chapter 48, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 49, chunk 1: domains missing; inferred ['data', 'timing', 'power']
Chapter 50, chunk 1: domains missing; inferred ['timing', 'data', 'optionality']
Chapter 52, chunk 1: domains missing; inferred ['power', 'discipline', 'strategy']
Chapter 53, chunk 1: domains missing; inferred ['psychology', 'timing', 'power']
Chapter 54, chunk 1: domains missing; inferred ['timing', 'psychology', 'truth']
Chapter 55, chunk 1: domains missing; inferred ['strategy']
Chapter 56, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 57, chunk 1: domains missing; inferred ['power']
Chapter 60, chunk 1: domains missing; inferred ['discipline', 'power']
